Item,Preço
Bicarbonato De Sódio 1 Kg ,20.9
Gel Clínico Contato Condutor Ultrassom Incolor Rmc 5 Kg,35.38
"Progressiva Organica 100% Liso, Soul Care Profissional",110.92
Creme Dental Menta Original Colgate Tripla Ação Caixa 180g Preço Especial,5.9
Aquacel Ag+ Extra Convatec 10x10cm Cx 1 Unid Original ,74.95
Talco Premium Farmaceutico 1 Kg,19.53
 Spray Hidratei Spray Multifuncional hidratação de 250mL 250g,136.71
Antisséptico Bucal Cool Mint 500ml Listerine,18.82
Protetor De Colchão Lençol Descartável Geriatrico Higifral G,26.87
Aquacel Ag+ Extra  10cmx10cm  01 Unid  Convatec ,70.94
Autobronzeador Loção Bronzeado Sem Sol Anasol Hipoalergênico,39.16
Condicionador Hidratação Impacto 500ml Midori Profissional,37.9
Máscara Contra Afinamento Capilar Nioxin Deep Protect 150ml,135.44
Absorvente Geriatrico Sensaty Premium Embalagem C/ 20 Unid.,10.91
Refil Lâmina De Reposição Para Barbeador Oneblade Qp210/50 P,62.85
Escova Oral-B Interdental Expert 20 u,21.9
Cera Quente Para Depilação Rollon Mel 100g Depil Bella,5.95
Kit Escova Progressiva Orgânica Sem Formol 300ml,39.9
Absorvente Masculino Urinário Geriátrico Dryman C/10 Uni,11.78
Gel Clinico Contato Condutor Ultrassom Incolor Bag 5kg,34.9
Sérum Ácidos Hialurónicos Principia dia/noite para todos os tipos de pele de 30mL,38.98
Combate Mata Piolhos E Lêndeas Acaba Coceira Elimina Piolho,36.28
Kit Toalha Umedecida Geriátrica 120 Unidades Barato Promoção,198.9
Lavatório De Cabelo Portátil Cuba Móvel Salão Beleza + Ducha,41.39
Fralda Adulto Plenitude Protect Plus G/xg 16 Unidades,67.34
Aquacel Ag Extra Prata Convatec - Medida 10x10cm Kit Com 1 Unidade,104.12
Sérum Niacinamida Principia dia/noite para todos os tipos de pele de 30mL,11.92
 Creme anticelulite para corpo e pernas The Creams Bumbum Cream en pote 200mL,29.99
Fashion Gold Original 500g Ybera Paris,12.61
Preservativo Masculino Lubrificado Efeito Retardante Prudence Pacote Leve 8 Pague 6 Unidades,42.9
"Kit 10 Fixador Esteril Para Cateter 3m I.v. Fix 5 X 7,4cm",4.46
Papel Higiênico Mili Atualle Neutro Max Folhas Duplas 12un ,139.99
Encrespando A Juba Creme De Pentear Widi Care 500ml,34.9
Pomada Fisiofort Verde 150g Massageadora - Bio Instinto ,15.09
Máscara Lowell Protect Care Pro Performance 450g,19.9
Papel Higiênico Rolão 300 Metros C/8 Rolos  ,55.44
Dermaex Age 200ml Oleo De Girassol Escaras Assaduras Feridas Tipo De Embalagem 200ml,48.89
 Shampoo Bambu Nutre & Cresce Pantene 400ml,30.75
Tônico Capilar Acelera O Crescimento Siàge Eudora 65ml,2.45
Creme De Massagem Raavi Neutro Corporal 1kg,27.5
Tend Skin 118ml - Loção Para Foliculite E Pelos Encravados Tipo De Embalagem Frasco Fragrância Não Tipos De Pele Todos,26.9
Papel Higiênico Folha Tripla Qualitá 20m Com 24 Unidades,157.89
Luva Plástica Descartável Transparente Pct. C/100,19.49
Óleo Essencial Melaleuca 100% Puro Australiano Tea Tree,42.99
Creme De Definição Anna Telles Mel Cola De 500ml 500g,42.99
Amend Kit Sistema Repositor De Massa Queratina Gold Black,46.8
 Oleo Massagem Neutro 1 Litro D Agua Natural,46.8
"Creme Alivio De Tensões,resistência Dos Vasos,irrigação Sanguínea Aumentada,alivio De Dores Musculares,prevenção De Contrações Para Corpo D'agua Natural Rous Arnica Sports En Pote De 650ml/650g",48.9
Preservativo Camisinha Não Lubrificado Blowtex Cx 144 Un,15.9
Óleo Hidratante Para Corpo Farmax Natural 100% Puro De Rosa Mosqueta 30ml En Pote,36.77
