Item,Preço
Toalha de Papel Kitchen com 2 unidades,7.25
Tira Manchas Branqueador Roupas Tio Bonato Bicarbonato 420gr,22.05
Água Sanitária Carrefour 2 Litros,5.49
Esponja Scotch-Brite Não Risca Limpeza Delicada laranja pacote x 3,9.89
Kit Detergentes Líquido Clear Ypê 500ml - 6 Unidades,14.99
Papel Higiênico Mili Atualle Neutro Max Folhas Duplas 12un ,12.61
Limpador Perfumado Veja Lavanda Da França 2l,18.69
Papel Higiênico Rolão 300 Metros C/8 Rolos  ,34.9
Papel Toalha 4000 Fls Interfolha Branco 100% Virgem Promo,54.51
Papéis toalha Snob Hiper pacote de 3 u,18.89
Pé Nivelador De Máquina Lavar Regulador Calço Anti Vibração,21.84
Amaciante de Roupa Concentrado Frescor da Primavera Downy Galão 3l,42.9
Detergente para lava-louças Finish Advanced Power Powder em pó em pote 1 kg,50.79
Plastico Filme Pvc 28cm X 300m - Rolo / Bobina,28.5
Rolo De Saquinhos Plástico P/ Alimentos 30x40 Transp C/500un,24.74
Kit Limpa Telas Celular Tv Computador Notebook Flash Limp,18.9
Papel Higiênico Folha Tripla Qualitá 20m Com 24 Unidades,30.75
Detergente Líquido Omo Profissional Perfect White 7l,74.9
Óleo Líquido King Peroba 500ml,30.26
Saco Plástico Cristal Transparente Reforcado Embalagem 1kg,31.9
Sabão em pó Urca Maxx Roupas Brancas e Coloridas pacote 1 kg,5.3
"Amaciante Concentrado Perfume Adorável 1,35 Litros Downy",24.9
Esponja Limpa Manchas Scotch-Brite,15.55
"Sabão Em Pó Limpeza Total Brilho Ativo 5,6kg Brilhante",62.9
Inseticida em Gel Mata Baratas Dexter Latina Straik Caixa,25.41
Limpador Sapólio Radium Saponáceo Clássico Cremoso em squeeze 450ml,17.35
Papel Toalha Interfolha Branco Para Secar As Mãos 4000 Folha,46.02
Lustra Móveis Lavanda Poliflor Frasco 20% Desc 500ml,22.05
Kit Sabão Líquido Concentrado + Garrafa Lavagem Perfeita Omo,28.99
Kit C/10 Esponjas De Limpeza Dupla Face 3m,22.31
"Amaciante Diluído Tradicional Puro Cuidado 1,8l Comfort",16.99
Limpador Desengordurante Profissional Sem Perfume 2l Cif,27.99
Sabão Em Pedra Coco Ufe Pacote Com 900gr(5 Pedras 180g Cada),31.9
Limpador Sanitário Líquido Power Plus Harpic 500ml,14.9
Multiuso Saponáceo Cremoso Original 450ml Cif,10.9
Esponja Aço Espiral Scotch-brite 20g,7.79
Cabideiro Roupas - Arara De Roupas - Loja E Quarto Sapateira,54.6
Papel Toalha Interfolhas Acácia C/ 1000 Folhas,11.48
Kit 2 Rolo Bobina Filme Pvc 28cm X 300 Metros ( 600 Metros ),49.81
"Guardanapo De Papel Folha Dupla Lips Elite 23,5x24cm 50unid",6.6
"Lava Roupas Ola Original 3,8l",57.9
Kit 2 - Espuma Esponja Rodo Passa Cera - Reforçado Qualidade,15.2
Sabão líquido Brilhante Higiene Total Roupas Brancas e Coloridas galão 3 L,32.75
Água sanitária Super Candida 2 L,6.04
Neutralizador De Odores Tuff Sem Passar Desamassa Fácil 350g,17.49
Protetor Batente Gota Silicone Adesivo Multiuso Móveis Vidro Cor Transparente,9.9
Odorizador Sanitário Lavanda Freecô 60ml,14.94
Guardanapo de Papel Folha Simples Ultra Macio Kitchen 32cm x 30cm Pacote 50 Unidades,5.01
